country,names,region_indexes,colour,order,disputed
Zimbabwe,['Zimbabwe'],[0],C5,67,False
Zambia,['Zambia'],[1],C4,43,False
Yemen,['Yemen'],[2],C3,61,False
Vietnam,['Vietnam'],[3],C1,72,False
Venezuela,['Venezuela'],[4],C5,38,False
Vatican,['Vatican'],[5],C4,200,False
Vanuatu,['Vanuatu'],[6],C3,163,False
Uzbekistan,['Uzbekistan'],[7],C2,54,False
Uruguay,['Uruguay'],[8],C1,89,False
Federated States of Micronesia,"['Micronesia', 'Federated States of Micronesia']",[9],C2,182,False
Marshall Islands,"['Marshall Is.', 'Marshall Islands']",[10],C4,192,False
United States of America,"['United States', 'United States of America']",[16],C5,3,False
United Kingdom,['United Kingdom'],[31],C3,66,False
United Arab Emirates,['United Arab Emirates'],[32],C2,123,False
Ukraine,['Ukraine'],[33],C1,41,False
Uganda,['Uganda'],[34],C5,83,False
Turkmenistan,['Turkmenistan'],[35],C3,53,False
Turkey,['Turkey'],[36],C2,33,False
Tunisia,['Tunisia'],[37],C1,91,False
Trinidad and Tobago,['Trinidad and Tobago'],[38],C5,168,False
Tonga,['Tonga'],[39],C4,184,False
Togo,['Togo'],[40],C3,132,False
East Timor,"['Timor-Leste', 'East Timor']",[41],C4,158,False
Thailand,['Thailand'],[42],C1,57,False
United Republic of Tanzania,"['Tanzania', 'United Republic of Tanzania']",[43],C4,35,False
Tajikistan,['Tajikistan'],[44],C5,93,False
Taiwan,['Taiwan'],[45],C4,138,False
Syria,['Syria'],[46],C2,87,False
Switzerland,['Switzerland'],[47],C1,131,False
Sweden,['Sweden'],[48],C5,34,False
eSwatini,"['eSwatini', 'Kingdom of eSwatini']",[49],C1,156,False
Suriname,['Suriname'],[50],C4,100,False
South Sudan,"['S. Sudan', 'South Sudan']",[51],C5,50,False
Sudan,['Sudan'],[52],C3,16,False
Sri Lanka,['Sri Lanka'],[53],C2,129,False
Spain,['Spain'],[54],C1,48,False
South Korea,"['Republic of Korea', 'South Korea']",[55],C4,107,False
South Africa,['South Africa'],[56],C3,20,False
Somalia,['Somalia'],[57],C1,60,False
Somaliland,['Somaliland'],[58],C2,94,False
Solomon Islands,"['Solomon Is.', 'Solomon Islands']",[59],C5,149,False
Slovakia,['Slovakia'],[60],C3,126,False
Slovenia,['Slovenia'],[61],C4,145,False
Singapore,['Singapore'],[62],C2,183,False
Sierra Leone,['Sierra Leone'],[63],C1,127,False
Seychelles,['Seychelles'],[64],C5,194,False
Republic of Serbia,"['Republic of Serbia', 'Serbia']",[65],C3,117,False
Senegal,['Senegal'],[66],C4,90,False
Saudi Arabia,['Saudi Arabia'],[67],C3,15,False
São Tomé and Principe,['São Tomé and Principe'],[68],C3,176,False
San Marino,['San Marino'],[69],C2,195,False
Samoa,['Samoa'],[70],C1,172,False
Saint Vincent and the Grenadines,"['St. Vin. and Gren.', 'Saint Vincent and the Grenadines']",[71],C5,189,False
Saint Lucia,['Saint Lucia'],[72],C4,181,False
Saint Kitts and Nevis,"['St. Kitts and Nevis', 'Saint Kitts and Nevis']",[73],C3,191,False
Rwanda,['Rwanda'],[74],C2,150,False
Russia,"['Russia', 'Russian Federation']",[75],C1,1,False
Romania,['Romania'],[76],C5,73,False
Qatar,['Qatar'],[77],C2,161,False
Portugal,['Portugal'],[78],C1,109,False
Poland,['Poland'],[79],C5,59,False
Philippines,['Philippines'],[80],C4,77,False
Peru,['Peru'],[81],C3,23,False
Paraguay,['Paraguay'],[82],C2,65,False
Papua New Guinea,['Papua New Guinea'],[83],C1,64,False
Panama,['Panama'],[84],C5,125,False
Palau,['Palau'],[85],C4,187,False
Pakistan,['Pakistan'],[86],C3,32,False
Oman,['Oman'],[87],C2,74,False
Norway,['Norway'],[88],C1,31,False
North Korea,"['Dem. Rep. Korea', 'North Korea']",[89],C3,97,False
Nigeria,['Nigeria'],[90],C2,37,False
Niger,['Niger'],[91],C1,25,False
Nicaragua,['Nicaragua'],[92],C5,102,False
New Zealand,['New Zealand'],[93],C4,69,False
Netherlands,['Netherlands'],[96],C3,130,False
