country,names,region_indexes,colour,order
Zimbabwe,['Zimbabwe'],[0],C5,68
Zambia,['Zambia'],[1],C4,44
Yemen,['Yemen'],[2],C3,62
Vietnam,['Vietnam'],[3],C1,73
Venezuela,['Venezuela'],[4],C5,39
Vatican,['Vatican'],[5],C4,201
Vanuatu,['Vanuatu'],[6],C3,164
Uzbekistan,['Uzbekistan'],[7],C2,55
Uruguay,['Uruguay'],[8],C1,90
Federated States of Micronesia,"['Micronesia', 'Federated States of Micronesia']",[9],C2,183
Marshall Islands,"['Marshall Islands', 'Marshall Is.']",[10],C4,193
United States of America,"['United States of America', 'United States']",[16],C5,4
United Kingdom,['United Kingdom'],[31],C3,67
United Arab Emirates,['United Arab Emirates'],[32],C2,124
Ukraine,['Ukraine'],[33],C1,42
Uganda,['Uganda'],[34],C5,84
Turkmenistan,['Turkmenistan'],[35],C3,54
Turkey,['Turkey'],[36],C2,34
Tunisia,['Tunisia'],[37],C1,92
Trinidad and Tobago,['Trinidad and Tobago'],[38],C5,169
Tonga,['Tonga'],[39],C4,185
Togo,['Togo'],[40],C3,133
East Timor,"['Timor-Leste', 'East Timor']",[41],C4,159
Thailand,['Thailand'],[42],C1,58
United Republic of Tanzania,"['United Republic of Tanzania', 'Tanzania']",[43],C4,36
Tajikistan,['Tajikistan'],[44],C5,94
Taiwan,['Taiwan'],[45],C4,139
Syria,['Syria'],[46],C2,88
Switzerland,['Switzerland'],[47],C1,132
Sweden,['Sweden'],[48],C5,35
eSwatini,"['eSwatini', 'Kingdom of eSwatini']",[49],C1,157
Suriname,['Suriname'],[50],C4,101
South Sudan,"['S. Sudan', 'South Sudan']",[51],C5,51
Sudan,['Sudan'],[52],C3,17
Sri Lanka,['Sri Lanka'],[53],C2,130
Spain,['Spain'],[54],C1,49
South Korea,"['South Korea', 'Republic of Korea']",[55],C4,108
South Africa,['South Africa'],[56],C3,21
Somalia,['Somalia'],[57],C1,61
Somaliland,['Somaliland'],[58],C2,95
Solomon Islands,"['Solomon Is.', 'Solomon Islands']",[59],C5,150
Slovakia,['Slovakia'],[60],C3,127
Slovenia,['Slovenia'],[61],C4,146
Singapore,['Singapore'],[62],C2,184
Sierra Leone,['Sierra Leone'],[63],C1,128
Seychelles,['Seychelles'],[64],C5,195
Republic of Serbia,"['Republic of Serbia', 'Serbia']",[65],C3,118
Senegal,['Senegal'],[66],C4,91
Saudi Arabia,['Saudi Arabia'],[67],C3,16
São Tomé and Principe,['São Tomé and Principe'],[68],C3,177
San Marino,['San Marino'],[69],C2,196
Samoa,['Samoa'],[70],C1,173
Saint Vincent and the Grenadines,"['Saint Vincent and the Grenadines', 'St. Vin. and Gren.']",[71],C5,190
Saint Lucia,['Saint Lucia'],[72],C4,182
Saint Kitts and Nevis,"['Saint Kitts and Nevis', 'St. Kitts and Nevis']",[73],C3,192
Rwanda,['Rwanda'],[74],C2,151
Russia,"['Russia', 'Russian Federation']",[75],C1,2
Romania,['Romania'],[76],C5,74
Qatar,['Qatar'],[77],C2,162
Portugal,['Portugal'],[78],C1,110
Poland,['Poland'],[79],C5,60
Philippines,['Philippines'],[80],C4,78
Peru,['Peru'],[81],C3,24
Paraguay,['Paraguay'],[82],C2,66
Papua New Guinea,['Papua New Guinea'],[83],C1,65
Panama,['Panama'],[84],C5,126
Palau,['Palau'],[85],C4,188
Pakistan,['Pakistan'],[86],C3,33
Oman,['Oman'],[87],C2,75
Norway,['Norway'],[88],C1,32
North Korea,"['North Korea', 'Dem. Rep. Korea']",[89],C3,98
Nigeria,['Nigeria'],[90],C2,38
Niger,['Niger'],[91],C1,26
Nicaragua,['Nicaragua'],[92],C5,103
New Zealand,['New Zealand'],[93],C4,70
Netherlands,['Netherlands'],[96],C3,131
Nepal,['Nepal'],[99],C2,97
Nauru,['Nauru'],[100],C1,198
Namibia,['Namibia'],[101],C5,41
Mozambique,['Mozambique'],[102],C3,43
Morocco,['Morocco'],[103],C2,48
Western Sahara,"['Western Sahara', 'W. Sahara']",[104],C2,120
Montenegro,['Montenegro'],[105],C1,158
Mongolia,['Mongolia'],[106],C5,14
Moldova,['Moldova'],[107],C3,136
Monaco,['Monaco'],[108],C4,199
Mexico,['Mexico'],[109],C2,15
Mauritius,['Mauritius'],[110],C1,175
